"trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","button_pressed","responses","question_order","subGen","subLang","key_press","Gender","Stressed","Angry","Hostile","Happy","Interested","Formal","Confident"
"pavlovia","0","18","0.0-0.0","","","","","","","","","","","","","","","",""
"html-button-response","1","186193","0.0-1.0","186171.70000000298","<p style=""text-align: left; margin: auto""> Hi, welcome! Thanks for agreeing to participate in this study.<br>This experiment does not work on mobile phones or tablet PCs, so please use a computer. <br>Also, <b>make sure you&apos;re using earphones or headphones.</b><br>For any technical inquiries, send an email to <font color=""#4355FF"">suhrjinsun@yonsei.ac.kr<br><br></p>","0","","","","","","","","","","","","",""
"survey-multi-choice","2","189364","0.0-2.0","3167.2999999970198","","","{""Q0"":""Prefer not to say"",""Q1"":""Other""}","[0,1]","Prefer not to say","Other","","","","","","","","",""
"html-button-response","3","190411","0.0-3.0","1039.7000000029802","<p style=""text-align: left; margin: auto"">Before we begin, please adjust your earphone volume. A sample voice will be played when you press Next.<br>Use that sound to set the volume to the level you feel comfortable.<br><br></p>","0","","","","","","","","","","","","",""
"audio-likert-jedit_volumeAdjust","4","191876","0.0-4.0","1461.1000000014901","./stim/z_volumeTest.wav","","","","","","","","","","","","","",""
"html-button-response","5","193294","0.0-5.0","1410.5","<p style=""text-align: left; margin-left: 50px; margin-right: 50px"">In this HIT, your task is to <u>listen to 33 short audio clips and rate each of their characteristics.</u><br>For each trial, a four-second voice clip will be played and you will be asked to answer 7 questions regarding the voice. <br>You must answer all of them before continuing to the next voice clip. There will be a one-minute break when you are half-way. There may be a couple of surprise questions between trials, so be aware! <br>After all trials are finished, we&apos;ll ask you a couple of demographic questions and comments on the experiment.<br>There&apos;s no right or wrong answer so just go with your instincts.<br>You&apos;re now all set to begin. Good luck!</p>","0","","","","","","","","","","","","",""
"html-keyboard-response","6","198304","0.0-6.0-0.0","null","<audio autoplay><source src=""./stim/KsponSpeech_125966_4sec.wav"", type = ""audio/wav"">Your browser does not support the audio element.</audio>","","","","","","null","","","","","","","",""
"audio-likert-jedit","7","210945","0.0-6.0-1.0","12636.59999999404","./stim/KsponSpeech_125966_4sec.wav","","{""stressed"":3,""angry"":3,""hostile"":3,""happy"":3,""interested"":3,""formal"":3,""confident"":3}","[0,1,2,3,4,5,6]","","","","","3","3","3","3","3","3","3"
"html-keyboard-response","8","215959","0.0-7.0-0.0","null","<audio autoplay><source src=""./stim/KsponSpeech_125921_4sec.wav"", type = ""audio/wav"">Your browser does not support the audio element.</audio>","","","","","","null","","","","","","","",""
"audio-likert-jedit","9","223830","0.0-7.0-1.0","7867.60000000149","./stim/KsponSpeech_125921_4sec.wav","","{""stressed"":3,""angry"":3,""hostile"":3,""happy"":3,""interested"":3,""formal"":3,""confident"":3}","[0,1,2,3,4,5,6]","","","","","3","3","3","3","3","3","3"
"html-keyboard-response","10","228839","0.0-8.0-0.0","null","<audio autoplay><source src=""./stim/KsponSpeech_125927_4sec.wav"", type = ""audio/wav"">Your browser does not support the audio element.</audio>","","","","","","null","","","","","","","",""
"audio-likert-jedit","11","237348","0.0-8.0-1.0","8503.79999999702","./stim/KsponSpeech_125927_4sec.wav","","{""stressed"":3,""angry"":3,""hostile"":3,""happy"":3,""interested"":3,""formal"":3,""confident"":3}","[0,1,2,3,4,5,6]","","","","","3","3","3","3","3","3","3"
"survey-text","12","241095","0.0-9.0","3734.10000000149","","","{""Q0"":""dd"",""Q1"":""dd""}","","","","","","","","","","","",""
